shape,lb_per_ft,family,d,bf,tf,tw,k
W6x9,9.0,W,5.90,3.94,0.215,0.170,0.75
W6x12,12.0,W,6.03,4.00,0.280,0.230,0.90
W6x15,15.0,W,5.99,5.99,0.260,0.230,0.85
W6x16,16.0,W,6.28,4.03,0.405,0.260,1.03
W6x20,20.0,W,6.20,6.02,0.365,0.260,0.98
W6x25,25.0,W,6.38,6.08,0.455,0.320,1.08
W8x10,10.0,W,7.89,3.94,0.205,0.170,0.74
W8x13,13.0,W,7.99,4.00,0.255,0.230,0.84
W8x15,15.0,W,8.11,4.01,0.315,0.245,0.92
W8x18,18.0,W,8.14,5.25,0.308,0.230,0.88
W8x21,21.0,W,8.28,5.27,0.400,0.250,0.98
W8x24,24.0,W,7.93,6.50,0.400,0.245,0.98
W8x28,28.0,W,8.06,6.54,0.465,0.285,1.06
W8x31,31.0,W,8.00,8.00,0.435,0.285,1.03
W8x35,35.0,W,8.12,8.02,0.495,0.310,1.09
W8x40,40.0,W,8.25,8.07,0.560,0.360,1.16
W8x48,48.0,W,8.50,8.11,0.685,0.400,1.29
W8x58,58.0,W,8.75,8.22,0.810,0.510,1.41
W8x67,67.0,W,9.00,8.28,0.935,0.570,1.54
W10x12,12.0,W,9.87,3.96,0.210,0.190,0.74
W10x15,15.0,W,9.99,4.00,0.270,0.230,0.84
W10x17,17.0,W,10.11,4.01,0.330,0.240,0.90
W10x19,19.0,W,10.24,4.02,0.395,0.250,0.96
W10x22,22.0,W,10.17,5.75,0.360,0.240,0.93
W10x26,26.0,W,10.33,5.77,0.440,0.260,1.01
W10x30,30.0,W,10.47,5.81,0.510,0.300,1.12
W10x33,33.0,W,9.73,7.96,0.435,0.290,1.06
W10x39,39.0,W,9.92,7.99,0.530,0.315,1.13
W10x45,45.0,W,10.10,8.02,0.620,0.350,1.22
W10x49,49.0,W,9.98,10.00,0.560,0.340,1.19
W10x54,54.0,W,10.09,10.03,0.615,0.370,1.25
W10x60,60.0,W,10.22,10.08,0.680,0.420,1.31
W10x68,68.0,W,10.40,10.13,0.770,0.470,1.40
W10x77,77.0,W,10.60,10.19,0.870,0.530,1.50
W10x88,88.0,W,10.84,10.27,0.990,0.605,1.63
W10x100,100.0,W,11.10,10.34,1.120,0.680,1.75
W10x112,112.0,W,11.36,10.42,1.250,0.755,1.88
W12x14,14.0,W,11.91,3.97,0.225,0.200,0.77
W12x16,16.0,W,11.99,3.99,0.265,0.220,0.83
W12x19,19.0,W,12.16,4.01,0.350,0.235,0.90
W12x22,22.0,W,12.31,4.03,0.425,0.260,1.00
W12x26,26.0,W,12.22,6.49,0.380,0.230,0.95
W12x30,30.0,W,12.34,6.52,0.440,0.260,1.03
W12x35,35.0,W,12.50,6.56,0.520,0.300,1.12
W12x40,40.0,W,11.94,8.01,0.515,0.295,1.12
W12x45,45.0,W,12.06,8.05,0.575,0.335,1.18
W12x50,50.0,W,12.19,8.08,0.640,0.370,1.25
W12x53,53.0,W,12.06,10.00,0.575,0.345,1.19
W12x58,58.0,W,12.19,10.01,0.640,0.360,1.26
W12x65,65.0,W,12.12,12.00,0.605,0.390,1.23
W12x72,72.0,W,12.25,12.04,0.670,0.430,1.29
W12x79,79.0,W,12.38,12.08,0.735,0.470,1.36
W12x87,87.0,W,12.53,12.13,0.810,0.515,1.44
W12x96,96.0,W,12.71,12.16,0.900,0.550,1.53
W12x106,106.0,W,12.89,12.22,0.990,0.610,1.63
W12x120,120.0,W,13.12,12.32,1.105,0.710,1.74
W14x22,22.0,W,13.74,5.00,0.335,0.230,0.85
W14x26,26.0,W,13.91,5.03,0.420,0.255,0.96
W14x30,30.0,W,13.84,6.73,0.385,0.270,0.93
W14x34,34.0,W,13.98,6.75,0.455,0.285,1.00
W14x38,38.0,W,14.10,6.77,0.515,0.310,1.08
W14x43,43.0,W,13.66,8.00,0.530,0.305,1.14
W14x48,48.0,W,13.79,8.03,0.595,0.340,1.19
W14x53,53.0,W,13.92,8.06,0.660,0.370,1.25
W14x61,61.0,W,13.89,10.00,0.645,0.375,1.26
W14x68,68.0,W,14.04,10.04,0.720,0.415,1.31
