standard,family,shape,lb_per_ft,A_in2,d_in,bf_in,tf_in,tw_in,rx_in,ry_in,T,kdes
AISC,W,W44X408,408.0,120.0,44.8,16.1,2.17,1.22,18.0,3.56,38.0,2.96
AISC,W,W44X368,368.0,108.0,44.4,16.0,1.97,1.1,17.9,3.54,38.0,2.76
AISC,W,W44X335,335.0,98.5,44.0,15.9,1.77,1.03,17.8,3.49,38.0,2.56
AISC,W,W44X290,290.0,85.4,43.6,15.8,1.58,0.865,17.8,3.49,38.0,2.36
AISC,W,W44X262,262.0,77.2,43.3,15.8,1.42,0.785,17.7,3.47,38.0,2.2
AISC,W,W44X230,230.0,67.8,42.9,15.8,1.22,0.71,17.5,3.43,38.0,2.01
AISC,W,W40X655,655.0,193.0,43.6,16.9,3.54,1.97,17.1,3.86,34.0,4.72
AISC,W,W40X593,593.0,174.0,43.0,16.7,3.23,1.79,17.0,3.8,34.0,4.41
AISC,W,W40X503,503.0,148.0,42.1,16.4,2.76,1.54,16.8,3.72,34.0,3.94
AISC,W,W40X431,431.0,127.0,41.3,16.2,2.36,1.34,16.6,3.65,34.0,3.54
AISC,W,W40X397,397.0,117.0,41.0,16.1,2.2,1.22,16.6,3.64,34.0,3.38
AISC,W,W40X372,372.0,110.0,40.6,16.1,2.05,1.16,16.5,3.6,34.0,3.23
AISC,W,W40X362,362.0,106.0,40.6,16.0,2.01,1.12,16.5,3.6,34.0,3.19
AISC,W,W40X324,324.0,95.3,40.2,15.9,1.81,1.0,16.4,3.58,34.0,2.99
AISC,W,W40X297,297.0,87.3,39.8,15.8,1.65,0.93,16.3,3.54,34.0,2.83
AISC,W,W40X277,277.0,81.5,39.7,15.8,1.58,0.83,16.4,3.58,34.0,2.76
AISC,W,W40X249,249.0,73.5,39.4,15.8,1.42,0.75,16.3,3.55,34.0,2.6
AISC,W,W40X215,215.0,63.5,39.0,15.8,1.22,0.65,16.2,3.54,34.0,2.4
AISC,W,W40X199,199.0,58.8,38.7,15.8,1.07,0.65,16.0,3.45,34.0,2.25
AISC,W,W40X392,392.0,116.0,41.6,12.4,2.52,1.42,16.1,2.64,34.0,3.7
AISC,W,W40X331,331.0,97.7,40.8,12.2,2.13,1.22,15.9,2.57,34.0,3.31
AISC,W,W40X327,327.0,95.9,40.8,12.1,2.13,1.18,16.0,2.58,34.0,3.31
AISC,W,W40X294,294.0,86.2,40.4,12.0,1.93,1.06,15.9,2.55,34.0,3.11
AISC,W,W40X278,278.0,82.3,40.2,12.0,1.81,1.03,15.8,2.52,34.0,2.99
AISC,W,W40X264,264.0,77.4,40.0,11.9,1.73,0.96,15.8,2.52,34.0,2.91
AISC,W,W40X235,235.0,69.1,39.7,11.9,1.58,0.83,15.9,2.54,34.0,2.76
AISC,W,W40X211,211.0,62.1,39.4,11.8,1.42,0.75,15.8,2.51,34.0,2.6
AISC,W,W40X183,183.0,53.3,39.0,11.8,1.2,0.65,15.7,2.49,34.0,2.38
AISC,W,W40X167,167.0,49.3,38.6,11.8,1.03,0.65,15.3,2.4,34.0,2.21
AISC,W,W40X149,149.0,43.8,38.2,11.8,0.83,0.63,15.0,2.29,34.0,2.01
AISC,W,W36X925,925.0,272.0,43.1,18.6,4.53,3.02,16.4,4.26,32.375,5.28
AISC,W,W36X853,853.0,251.0,43.1,18.2,4.53,2.52,16.7,4.28,32.375,5.28
AISC,W,W36X802,802.0,236.0,42.6,18.0,4.29,2.38,16.6,4.22,32.375,5.04
AISC,W,W36X723,723.0,213.0,41.8,17.8,3.9,2.17,16.4,4.17,32.375,4.65
AISC,W,W36X652,652.0,192.0,41.1,17.6,3.54,1.97,16.2,4.1,31.375,4.49
AISC,W,W36X529,529.0,156.0,39.8,17.2,2.91,1.61,16.0,4.0,31.375,3.86
AISC,W,W36X487,487.0,143.0,39.3,17.1,2.68,1.5,15.8,3.96,31.375,3.63
AISC,W,W36X441,441.0,130.0,38.9,17.0,2.44,1.36,15.7,3.92,31.375,3.39
AISC,W,W36X395,395.0,116.0,38.4,16.8,2.2,1.22,15.7,3.88,31.375,3.15
AISC,W,W36X361,361.0,106.0,38.0,16.7,2.01,1.12,15.6,3.85,31.375,2.96
AISC,W,W36X330,330.0,96.9,37.7,16.6,1.85,1.02,15.5,3.83,31.375,2.8
AISC,W,W36X302,302.0,89.0,37.3,16.7,1.68,0.945,15.4,3.82,31.375,2.63
AISC,W,W36X282,282.0,82.9,37.1,16.6,1.57,0.885,15.4,3.8,31.375,2.52
AISC,W,W36X262,262.0,77.2,36.9,16.6,1.44,0.84,15.3,3.76,31.375,2.39
AISC,W,W36X247,247.0,72.5,36.7,16.5,1.35,0.8,15.2,3.74,31.375,2.3
AISC,W,W36X231,231.0,68.2,36.5,16.5,1.26,0.76,15.1,3.71,31.375,2.21
AISC,W,W36X387,387.0,114.0,39.1,12.7,2.56,1.42,15.2,2.78,31.5,3.31
AISC,W,W36X350,350.0,103.0,38.6,12.6,2.32,1.3,15.1,2.75,31.5,3.07
