bluebeam_subject,aisc_designation,member_type,notes
W12X26 BEAM,W12X26,structural,
W12X30 BEAM,W12X30,structural,
W12X35 BEAM,W12X35,structural,
W14X22 BEAM,W14X22,structural,
W14X30 BEAM,W14X30,structural,
W14X43 BEAM,W14X43,structural,
W14X48 BEAM,W14X48,structural,
W14X53 BEAM,W14X53,structural,
W14X61 BEAM,W14X61,structural,
W14X74 BEAM,W14X74,structural,
W16X26 BEAM,W16X26,structural,
W16X31 BEAM,W16X31,structural,
W16X36 BEAM,W16X36,structural,
W16X40 BEAM,W16X40,structural,
W16X45 BEAM,W16X45,structural,
W18X35 BEAM,W18X35,structural,
W18X40 BEAM,W18X40,structural,
W18X46 BEAM,W18X46,structural,
W18X50 BEAM,W18X50,structural,
W18X55 BEAM,W18X55,structural,
W18X60 BEAM,W18X60,structural,
W18X65 BEAM,W18X65,structural,
W21X44 BEAM,W21X44,structural,
W21X50 BEAM,W21X50,structural,
W21X55 BEAM,W21X55,structural,
W21X62 BEAM,W21X62,structural,
W21X68 BEAM,W21X68,structural,
W21X73 BEAM,W21X73,structural,
W24X55 BEAM,W24X55,structural,
W24X62 BEAM,W24X62,structural,
W24X68 BEAM,W24X68,structural,
W24X76 BEAM,W24X76,structural,
W24X84 BEAM,W24X84,structural,
W27X84 BEAM,W27X84,structural,
W27X94 BEAM,W27X94,structural,
W30X90 BEAM,W30X90,structural,
W30X99 BEAM,W30X99,structural,
W8X10 COLUMN,W8X10,structural,
W8X13 COLUMN,W8X13,structural,
W8X15 COLUMN,W8X15,structural,
W8X18 COLUMN,W8X18,structural,
W8X21 COLUMN,W8X21,structural,
W8X24 COLUMN,W8X24,structural,
W8X28 COLUMN,W8X28,structural,
W8X31 COLUMN,W8X31,structural,
W10X22 COLUMN,W10X22,structural,
W10X26 COLUMN,W10X26,structural,
W10X33 COLUMN,W10X33,structural,
W10X45 COLUMN,W10X45,structural,
W10X49 COLUMN,W10X49,structural,
W10X54 COLUMN,W10X54,structural,
W12X40 COLUMN,W12X40,structural,
W12X45 COLUMN,W12X45,structural,
W12X50 COLUMN,W12X50,structural,
W12X53 COLUMN,W12X53,structural,
W12X58 COLUMN,W12X58,structural,
W12X65 COLUMN,W12X65,structural,
W12X72 COLUMN,W12X72,structural,
W14X43 COLUMN,W14X43,structural,
W14X48 COLUMN,W14X48,structural,
W14X53 COLUMN,W14X53,structural,
W14X61 COLUMN,W14X61,structural,
W14X74 COLUMN,W14X74,structural,
W14X82 COLUMN,W14X82,structural,
W14X90 COLUMN,W14X90,structural,
W14X99 COLUMN,W14X99,structural,
W14X109 COLUMN,W14X109,structural,
W14X120 COLUMN,W14X120,structural,
W14X132 COLUMN,W14X132,structural,
HSS3X3X1/4 COLUMN,HSS3X3X1/4,structural,
HSS4X4X1/4 COLUMN,HSS4X4X1/4,structural,
HSS4X4X3/8 COLUMN,HSS4X4X3/8,structural,
HSS5X5X1/4 COLUMN,HSS5X5X1/4,structural,
HSS5X5X3/8 COLUMN,HSS5X5X3/8,structural,
HSS5X5X1/2 COLUMN,HSS5X5X1/2,structural,
HSS6X6X1/4 COLUMN,HSS6X6X1/4,structural,
HSS6X6X3/8 COLUMN,HSS6X6X3/8,structural,
HSS6X6X1/2 COLUMN,HSS6X6X1/2,structural,
HSS8X8X1/4 COLUMN,HSS8X8X1/4,structural,
