designation,series,depth_in,chord_size,weight_per_ft,notes
8K1,K,8,1,5.1,SJI K-series
10K1,K,10,1,5.0,
12K1,K,12,1,5.0,
12K3,K,12,3,5.7,
12K5,K,12,5,7.1,
14K1,K,14,1,5.2,
14K3,K,14,3,6.0,
14K4,K,14,4,6.7,
14K6,K,14,6,7.7,
16K2,K,16,2,5.5,
16K3,K,16,3,6.3,
16K4,K,16,4,7.0,
16K5,K,16,5,7.5,
16K6,K,16,6,8.1,
16K7,K,16,7,8.6,
16K9,K,16,9,10.0,
18K3,K,18,3,6.6,
18K4,K,18,4,7.2,
18K5,K,18,5,7.7,
18K6,K,18,6,8.5,
18K7,K,18,7,9.0,
18K9,K,18,9,10.2,
18K10,K,18,10,11.7,
20K3,K,20,3,6.7,
20K4,K,20,4,7.6,
20K5,K,20,5,8.2,
20K6,K,20,6,8.9,
20K7,K,20,7,9.3,
20K9,K,20,9,10.8,
20K10,K,20,10,12.2,
22K4,K,22,4,8.0,
22K5,K,22,5,8.8,
22K6,K,22,6,9.2,
22K7,K,22,7,9.7,
22K9,K,22,9,11.3,
22K10,K,22,10,12.6,
22K11,K,22,11,13.8,
24K4,K,24,4,8.4,
24K5,K,24,5,9.3,
24K6,K,24,6,9.7,
24K7,K,24,7,10.1,
24K8,K,24,8,11.5,
24K9,K,24,9,12.0,
24K10,K,24,10,13.1,
24K12,K,24,12,16.0,
26K5,K,26,5,9.8,
26K6,K,26,6,10.6,
26K7,K,26,7,10.9,
26K8,K,26,8,12.1,
26K9,K,26,9,12.2,
26K10,K,26,10,13.8,
26K12,K,26,12,16.6,
28K6,K,28,6,11.4,
28K7,K,28,7,11.8,
28K8,K,28,8,12.7,
28K9,K,28,9,13.0,
28K10,K,28,10,14.3,
28K12,K,28,12,17.1,
30K7,K,30,7,12.3,
30K8,K,30,8,13.2,
30K9,K,30,9,13.4,
30K10,K,30,10,15.0,
30K11,K,30,11,16.4,
30K12,K,30,12,17.6,
18LH02,LH,18,2,10.0,SJI LH-series long-span
18LH03,LH,18,3,11.0,
18LH05,LH,18,5,12.0,
20LH02,LH,20,2,10.0,
20LH03,LH,20,3,11.0,
20LH04,LH,20,4,12.0,
20LH05,LH,20,5,14.0,
20LH06,LH,20,6,15.0,
24LH03,LH,24,3,11.0,
24LH04,LH,24,4,12.0,
24LH05,LH,24,5,13.0,
24LH06,LH,24,6,15.0,
24LH07,LH,24,7,18.0,
24LH08,LH,24,8,21.0,
24LH09,LH,24,9,24.0,
24LH10,LH,24,10,27.0,
24LH11,LH,24,11,30.0,
28LH05,LH,28,5,13.0,
28LH06,LH,28,6,15.0,
28LH07,LH,28,7,18.0,
28LH08,LH,28,8,21.0,
28LH09,LH,28,9,24.0,
28LH10,LH,28,10,27.0,
28LH11,LH,28,11,30.0,
28LH12,LH,28,12,33.0,
28LH13,LH,28,13,36.0,
32LH06,LH,32,6,15.0,
32LH07,LH,32,7,18.0,
32LH08,LH,32,8,21.0,
32LH09,LH,32,9,24.0,
32LH10,LH,32,10,27.0,
32LH11,LH,32,11,30.0,
32LH12,LH,32,12,33.0,
32LH13,LH,32,13,36.0,
32LH14,LH,32,14,39.0,
32LH15,LH,32,15,42.0,
36LH07,LH,36,7,17.0,
36LH08,LH,36,8,20.0,
36LH09,LH,36,9,23.0,
36LH10,LH,36,10,26.0,
36LH11,LH,36,11,28.0,
36LH12,LH,36,12,32.0,
36LH13,LH,36,13,35.0,
36LH14,LH,36,14,39.0,
36LH15,LH,36,15,42.0,
40LH08,LH,40,8,21.0,
40LH09,LH,40,9,24.0,
40LH10,LH,40,10,27.0,
40LH11,LH,40,11,31.0,
40LH12,LH,40,12,35.0,
40LH13,LH,40,13,40.0,
40LH14,LH,40,14,45.0,
40LH15,LH,40,15,49.0,
40LH16,LH,40,16,55.0,
44LH09,LH,44,9,26.0,
44LH10,LH,44,10,29.0,
44LH11,LH,44,11,33.0,
44LH12,LH,44,12,37.0,
44LH13,LH,44,13,42.0,
44LH14,LH,44,14,47.0,
44LH15,LH,44,15,52.0,
44LH16,LH,44,16,58.0,
44LH17,LH,44,17,65.0,
48LH10,LH,48,10,30.0,
48LH11,LH,48,11,34.0,
48LH12,LH,48,12,38.0,
48LH13,LH,48,13,43.0,
48LH14,LH,48,14,48.0,
48LH15,LH,48,15,54.0,
48LH16,LH,48,16,60.0,
48LH17,LH,48,17,67.0,
52DLH10,DLH,52,10,25.0,SJI DLH-series deep long-span
52DLH11,DLH,52,11,28.0,
52DLH12,DLH,52,12,32.0,
52DLH13,DLH,52,13,36.0,
52DLH14,DLH,52,14,40.0,
52DLH15,DLH,52,15,45.0,
52DLH16,DLH,52,16,52.0,
52DLH17,DLH,52,17,58.0,
56DLH11,DLH,56,11,30.0,
56DLH12,DLH,56,12,34.0,
56DLH13,DLH,56,13,38.0,
56DLH14,DLH,56,14,42.0,
56DLH15,DLH,56,15,48.0,
56DLH16,DLH,56,16,54.0,
56DLH17,DLH,56,17,60.0,
60DLH12,DLH,60,12,36.0,
60DLH13,DLH,60,13,40.0,
60DLH14,DLH,60,14,45.0,
60DLH15,DLH,60,15,50.0,
60DLH16,DLH,60,16,56.0,
60DLH17,DLH,60,17,62.0,
60DLH18,DLH,60,18,68.0,
